par_state,par_county,kid_race,par_pctile,shrunk_xkid_vscore2020,county_name
1,19,White,75,692,Cherokee
1,19,Black,75,626.7,Cherokee
1,19,Pooled,25,622.1431279620853,Cherokee
1,19,Hispanic,-9,626.45,Cherokee
1,21,White,75,690,Chilton
1,21,Pooled,25,617.8841836734694,Chilton
1,21,Hispanic,50,645.35,Chilton
1,21,White,50,658.85,Chilton
1,21,Hispanic,75,675,Chilton
1,21,Black,50,590.25,Chilton
1,21,White,25,627.7,Chilton
1,21,Pooled,75,684.5109489051094,Chilton
1,21,Hispanic,25,615.7,Chilton
1,21,Black,75,603.5,Chilton
1,21,Black,-9,581.7111111111111,Chilton
1,21,Black,25,577,Chilton
1,21,White,-9,655.5125,Chilton
1,21,Hispanic,-9,645.35,Chilton
1,21,Pooled,-9,645.2951951951952,Chilton
1,21,Pooled,50,651.1975662892894,Chilton
1,23,White,50,662.45,Choctaw
1,23,Pooled,25,608.109708737864,Choctaw
1,23,Hispanic,25,603.4,Choctaw
1,23,Pooled,-9,631.9216560509554,Choctaw
1,23,White,25,636.3,Choctaw
1,23,Hispanic,75,677.9,Choctaw
1,23,Pooled,50,642.7252247393023,Choctaw
1,23,Hispanic,50,640.65,Choctaw
1,23,Pooled,75,677.3407407407408,Choctaw
1,23,White,75,688.6,Choctaw
1,23,Hispanic,-9,640.65,Choctaw
1,23,Black,25,592.3,Choctaw
1,23,Black,-9,596.4875,Choctaw
1,23,White,-9,664.1480519480519,Choctaw
1,23,Black,50,609.05,Choctaw
1,23,Black,75,625.8,Choctaw
1,25,Hispanic,-9,635.05,Clarke
1,25,Hispanic,75,659.3,Clarke
1,25,Black,50,608.05,Clarke
1,25,Hispanic,50,635.05,Clarke
1,25,White,75,701.8,Clarke
1,25,White,25,646.8,Clarke
1,25,Pooled,75,689.0491803278688,Clarke
1,25,AIAN,50,630.05,Clarke
1,25,AIAN,75,658.4,Clarke
1,25,AIAN,25,601.7,Clarke
1,25,AIAN,-9,630.05,Clarke
1,25,Pooled,25,613.034328358209,Clarke
1,25,Black,-9,597.875,Clarke
1,25,Hispanic,25,610.8,Clarke
1,25,Black,75,621,Clarke
1,25,White,50,674.3,Clarke
1,25,Black,25,595.1,Clarke
1,25,Pooled,-9,641.7458204334365,Clarke
1,25,White,-9,679.4047904191617,Clarke
1,25,Pooled,50,651.041754343039,Clarke
1,27,White,25,633.9,Clay
1,27,Black,75,614.5,Clay
1,27,Pooled,75,686.5188235294117,Clay
1,27,Hispanic,50,636.5999999999999,Clay
1,27,Pooled,-9,649.8903846153846,Clay
1,27,Black,50,599.3,Clay
1,27,Black,25,584.1,Clay
1,27,Hispanic,-9,636.6,Clay
1,27,Pooled,25,624.5780487804878,Clay
1,27,Hispanic,25,596.4,Clay
1,27,Hispanic,75,676.8,Clay
1,27,Black,-9,596.0428571428571,Clay
1,27,White,50,666.8,Clay
1,27,Pooled,50,655.5484361549497,Clay
1,27,White,75,699.7,Clay
1,27,White,-9,660.380487804878,Clay
1,29,Black,50,626.9,Cleburne
1,29,Black,25,591.4,Cleburne
1,29,Hispanic,-9,641.1,Cleburne
1,29,White,50,666.05,Cleburne
1,29,Pooled,75,691.0857142857143,Cleburne
1,29,Hispanic,75,649.1,Cleburne
1,29,Pooled,50,660.5295238095239,Cleburne
1,29,Hispanic,25,633.1,Cleburne
1,29,Pooled,25,629.9733333333334,Cleburne
1,29,Pooled,-9,655.1372549019608,Cleburne
1,29,White,75,699.4,Cleburne
1,29,Black,75,662.4,Cleburne
1,29,White,25,632.7,Cleburne
1,29,White,-9,659.0697674418604,Cleburne
1,29,Black,-9,626.9,Cleburne
1,29,Hispanic,50,641.1,Cleburne
1,31,Black,25,588.6,Coffee
1,31,Asian,50,720.9000000000001,Coffee
1,31,Asian,25,722.1,Coffee
1,31,AIAN,25,657.2,Coffee
1,31,AIAN,75,701.2,Coffee
1,31,Asian,-9,720.9,Coffee
1,31,Black,50,614.1500000000001,Coffee
1,31,Pooled,75,706.365780730897,Coffee
1,31,Pooled,50,668.3413340740578,Coffee
1,31,Asian,75,719.7,Coffee
1,31,White,25,644.6,Coffee
1,31,AIAN,-9,679.2,Coffee
1,31,Black,-9,598.4449541284404,Coffee
1,31,Pooled,25,630.3168874172186,Coffee
1,31,Hispanic,75,700.4,Coffee
1,31,Pooled,-9,668.2782752902156,Coffee
1,31,White,75,711.9,Coffee
1,31,Hispanic,50,684.05,Coffee
1,31,Hispanic,-9,684.7608695652174,Coffee
1,31,Hispanic,25,667.7,Coffee
1,31,White,50,678.25,Coffee
1,31,AIAN,50,679.2,Coffee
1,31,White,-9,683.0571428571428,Coffee
1,31,Black,75,639.7,Coffee
1,33,Pooled,75,693.4483985765124,Colbert
1,33,AIAN,75,675.1,Colbert
1,33,Black,50,615.2,Colbert
1,33,Black,25,588.6,Colbert
1,33,Asian,25,725.3,Colbert
1,33,White,-9,663.8263157894737,Colbert
1,33,Asian,75,744.1,Colbert
1,33,Asian,50,734.7,Colbert
1,33,AIAN,50,652,Colbert
1,33,Hispanic,75,690.5,Colbert
1,33,White,75,699.2,Colbert
1,33,Black,75,641.8,Colbert
1,33,Hispanic,50,652.4,Colbert
1,33,Black,-9,602.6254545454545,Colbert
1,33,Pooled,50,656.2670346541099,Colbert
1,33,Asian,-9,734.7,Colbert
1,33,Pooled,25,619.0856707317073,Colbert
1,33,White,25,627.7,Colbert
1,33,AIAN,25,628.9,Colbert
1,33,Hispanic,-9,652.4,Colbert
1,33,White,50,663.45,Colbert
1,33,AIAN,-9,652,Colbert
1,33,Pooled,-9,653.3975369458128,Colbert
1,33,Hispanic,25,614.3,Colbert
1,35,White,75,685.4,Conecuh
1,35,Pooled,-9,623.5824561403509,Conecuh
1,35,Hispanic,50,627.95,Conecuh
1,35,White,-9,657.290243902439,Conecuh
1,35,Hispanic,75,651.7,Conecuh
1,35,Black,75,627.6,Conecuh
1,35,Hispanic,25,604.2,Conecuh
1,35,White,25,639.3,Conecuh
1,35,Pooled,25,606.867716535433,Conecuh
1,35,Black,-9,589.0271604938271,Conecuh
1,35,Pooled,50,639.3474946313529,Conecuh
1,35,White,50,662.3499999999999,Conecuh
1,35,Black,50,606.2,Conecuh
1,35,Pooled,75,671.8272727272728,Conecuh
1,35,Black,25,584.8,Conecuh
1,35,Hispanic,-9,627.95,Conecuh
1,37,White,-9,648.3285714285714,Coosa
1,37,Black,75,607.4,Coosa
1,37,White,50,656.3,Coosa
1,37,Black,25,577.4,Coosa
1,37,White,75,687.3,Coosa
1,37,White,25,625.3,Coosa
1,37,Pooled,50,636.8305717998701,Coosa
1,37,Hispanic,25,608.4,Coosa
1,37,Pooled,75,668.7105263157895,Coosa
1,37,Pooled,25,604.9506172839506,Coosa
1,37,Pooled,-9,625.3109243697479,Coosa
1,37,Hispanic,-9,639.45,Coosa
1,37,Black,50,592.4,Coosa
1,37,Hispanic,50,639.45,Coosa
1,37,Hispanic,75,670.5,Coosa
1,37,Black,-9,583.2536585365854,Coosa
1,39,AIAN,75,712.5,Covington
1,39,Pooled,50,665.4099283154121,Covington
1,39,Pooled,75,704.7822222222222,Covington
1,39,Asian,50,726.8,Covington
1,39,Hispanic,50,686.9,Covington
1,39,Hispanic,75,727.8,Covington
1,39,White,50,672.6500000000001,Covington
1,39,Asian,75,737,Covington
1,39,Black,-9,587.4514285714286,Covington
1,39,Asian,-9,726.8,Covington
1,39,Black,75,632.8,Covington
1,39,Asian,25,716.6,Covington
1,39,Pooled,-9,651.7152173913043,Covington
1,39,AIAN,25,606.6,Covington
1,39,Hispanic,25,646,Covington
1,39,Black,50,607.2,Covington
1,39,White,25,637.7,Covington
1,39,AIAN,50,659.55,Covington
1,39,Black,25,581.6,Covington
1,39,Hispanic,-9,686.9,Covington
1,39,White,-9,662.8203125,Covington
1,39,Pooled,25,626.0376344086021,Covington
1,39,AIAN,-9,659.55,Covington
1,39,White,75,707.6,Covington
1,41,Black,75,625.7,Crenshaw
1,41,White,25,640.5,Crenshaw
1,41,White,-9,663.1838709677419,Crenshaw
1,41,Pooled,25,621.0193181818182,Crenshaw
1,41,Black,25,585.2,Crenshaw
1,41,Pooled,75,685.7545454545455,Crenshaw
1,41,White,75,699.1,Crenshaw
1,41,Pooled,50,653.3869318181819,Crenshaw
1,41,Black,-9,593.5076923076923,Crenshaw
1,41,Pooled,-9,642.5977272727273,Crenshaw
1,41,White,50,669.8,Crenshaw
1,41,Black,50,605.45,Crenshaw
1,43,AIAN,75,681.6,Cullman
1,43,Asian,25,719.5,Cullman
1,43,Pooled,-9,660.9227912932138,Cullman
1,43,Pooled,50,666.1198618289991,Cullman
1,43,AIAN,50,650.95,Cullman
1,43,Black,50,620.9000000000001,Cullman
1,43,Black,25,597.7,Cullman
1,43,Pooled,75,698.5911585365853,Cullman
1,43,AIAN,-9,650.95,Cullman
1,43,Hispanic,75,667.1,Cullman
1,43,White,75,699.8,Cullman
1,43,Pooled,25,633.6485651214128,Cullman
1,43,Asian,75,726.5,Cullman
1,43,Hispanic,-9,652.5,Cullman
1,43,Black,75,644.1,Cullman
1,43,White,-9,660.9711409395973,Cullman
1,43,Asian,-9,723,Cullman
1,43,Hispanic,50,652.5,Cullman
1,43,AIAN,25,620.3,Cullman
1,43,Black,-9,620.9,Cullman
1,43,White,25,633.3,Cullman
1,43,White,50,666.55,Cullman
1,43,Asian,50,723,Cullman
1,43,Hispanic,25,637.9,Cullman
1,45,Pooled,50,661.2688523980555,Dale
1,45,Black,50,616.45,Dale
1,45,White,-9,673.8185483870968,Dale
1,45,White,75,703.1,Dale
1,45,White,25,639.4,Dale
1,45,Black,25,592.1,Dale
1,45,Asian,25,730.2,Dale
1,45,Black,-9,604.0213541666667,Dale
1,45,Hispanic,75,710.1,Dale
1,45,White,50,671.25,Dale
1,45,AIAN,75,673.9,Dale
1,45,Pooled,75,696.3073760580411,Dale
1,45,Pooled,-9,658.9725423728813,Dale
1,45,Hispanic,-9,674.0946428571428,Dale
1,45,Asian,-9,725,Dale
1,45,Black,75,640.8,Dale
1,45,Asian,50,725,Dale
1,45,Pooled,25,626.2303287380699,Dale
1,45,AIAN,50,647.0999999999999,Dale
1,45,AIAN,25,620.3,Dale
1,45,Asian,75,719.8,Dale
1,45,AIAN,-9,647.1,Dale
1,45,Hispanic,25,649,Dale
1,45,Hispanic,50,679.55,Dale
1,47,Pooled,-9,626.331935483871,Dallas
1,47,Hispanic,50,628.7,Dallas
1,47,Hispanic,-9,628.7,Dallas
1,47,White,-9,680.5478260869565,Dallas
1,47,White,25,645.8,Dallas
1,47,Pooled,25,600.0240184757506,Dallas
1,47,Asian,50,728.8499999999999,Dallas
1,47,White,75,705,Dallas
1,47,Asian,75,739.9,Dallas
1,47,Black,25,585.5,Dallas
1,47,Hispanic,25,593.3,Dallas
1,47,Black,-9,590.7470588235294,Dallas
1,47,Asian,25,717.8,Dallas
1,47,Pooled,50,643.6360734089983,Dallas
1,47,Pooled,75,687.248128342246,Dallas
1,47,Hispanic,75,664.1,Dallas
1,47,Asian,-9,728.85,Dallas
1,47,White,50,675.4,Dallas
1,47,Black,75,630.1,Dallas
1,47,Black,50,607.8,Dallas
1,49,AIAN,75,698.9,DeKalb
1,49,White,-9,658.6489130434783,DeKalb
1,49,Black,50,629.8499999999999,DeKalb
1,49,Asian,25,691,DeKalb
1,49,White,25,635.8,DeKalb
1,49,White,75,699.5,DeKalb
1,49,Hispanic,50,653.55,DeKalb
1,49,Hispanic,75,674.9,DeKalb
1,49,Pooled,50,667.1876189759359,DeKalb
1,49,Asian,50,703.05,DeKalb
1,49,Black,25,590.3,DeKalb
1,49,Hispanic,25,632.2,DeKalb
1,49,Pooled,25,635.9475667189952,DeKalb
1,49,AIAN,-9,673.55,DeKalb
1,49,Pooled,-9,658.7072854291416,DeKalb
1,49,Hispanic,-9,646.0147058823529,DeKalb
1,49,Black,75,669.4,DeKalb
1,49,Pooled,75,698.4276712328767,DeKalb
1,49,AIAN,50,673.55,DeKalb
1,49,AIAN,25,648.2,DeKalb
1,49,White,50,667.65,DeKalb
1,49,Asian,-9,703.05,DeKalb
1,49,Asian,75,715.1,DeKalb
1,49,Black,-9,629.85,DeKalb
1,51,White,75,698.1,Elmore
1,51,White,50,667.45,Elmore
1,51,White,25,636.8,Elmore
1,51,Hispanic,75,679.6,Elmore
1,51,AIAN,-9,655.05,Elmore
1,51,Black,75,627.4,Elmore
1,51,Pooled,75,694.5239215686274,Elmore
1,51,Black,-9,588.6532467532468,Elmore
1,51,Black,25,583.2,Elmore
1,51,Pooled,25,620.2340935005701,Elmore
1,51,Asian,25,673.2,Elmore
1,51,Asian,-9,699.25,Elmore
1,51,Hispanic,-9,648.55,Elmore
1,51,Asian,75,725.3,Elmore
1,51,Hispanic,25,617.5,Elmore
1,51,AIAN,25,619.9,Elmore
1,51,White,-9,670.3234375,Elmore
1,51,Pooled,50,657.3790075345987,Elmore
1,51,AIAN,50,655.05,Elmore
1,51,Asian,50,699.25,Elmore
1,51,AIAN,75,690.2,Elmore
1,51,Pooled,-9,654.845371498173,Elmore
1,51,Black,50,605.3,Elmore
1,51,Hispanic,50,648.55,Elmore
1,53,Black,25,581.3,Escambia
1,53,Pooled,50,649.5855713094245,Escambia
1,53,Hispanic,25,601.8,Escambia
1,53,White,25,629.7,Escambia
1,53,Hispanic,50,646.75,Escambia
1,53,Asian,50,709.0999999999999,Escambia
1,53,Asian,25,697.9,Escambia
1,53,White,50,662.5,Escambia
1,53,AIAN,25,630.9,Escambia
1,53,AIAN,-9,653.7,Escambia
1,53,Pooled,75,689.2854545454545,Escambia
1,53,Black,50,596.9,Escambia
1,53,AIAN,50,653.7,Escambia
1,53,Pooled,25,609.8856880733945,Escambia
1,53,Black,-9,583.796,Escambia
1,53,Asian,-9,709.1,Escambia
1,53,Hispanic,-9,646.75,Escambia
1,53,White,-9,658.7153846153847,Escambia
1,53,Pooled,-9,636.5136585365854,Escambia
1,53,Asian,75,720.3,Escambia
1,53,Black,75,612.5,Escambia
1,53,AIAN,75,676.5,Escambia
1,53,White,75,695.3,Escambia
1,53,Hispanic,75,691.7,Escambia
1,55,Pooled,50,655.2771936599316,Etowah
1,55,Hispanic,75,658.1,Etowah
1,55,AIAN,-9,657.45,Etowah
1,55,White,75,697.8,Etowah
1,55,Asian,-9,715.25,Etowah
1,55,White,25,628.3,Etowah
1,55,Hispanic,25,616.4,Etowah
1,55,Hispanic,-9,630.6657894736842,Etowah
1,55,AIAN,75,690.4,Etowah
1,55,Black,25,585.6,Etowah
1,55,AIAN,25,624.5,Etowah
1,55,Black,75,627.2,Etowah
1,55,Asian,75,724.4,Etowah
1,55,Pooled,-9,647.389829821718,Etowah
1,55,Asian,50,715.25,Etowah
1,55,Pooled,25,618.8239840106596,Etowah
1,55,Pooled,75,691.7304033092037,Etowah
1,55,Asian,25,706.1,Etowah
1,55,White,50,663.05,Etowah
1,55,AIAN,50,657.45,Etowah
1,55,Black,50,606.4000000000001,Etowah
1,55,Hispanic,50,637.25,Etowah
1,55,White,-9,658.4868686868687,Etowah
1,55,Black,-9,593.3626794258373,Etowah
1,57,Hispanic,50,647.75,Fayette
1,57,White,50,672.3,Fayette
